prompt_with_emotion,response_with_emotion
"I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience., sad","[""People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals., prepared"", 'What happened?, anticipating', 'Got rejected from a place I wanted to work_comma_ not once but three times , disgusted', 'I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?, caring', 'Thanks_comma_ they gave me the same generic lines you always hear. , caring']"
"I got stock from family a long time ago. I just let it sit there. It's risen 10 times since., grateful","[""I got stock from family a long time ago. I just let it sit there. It's risen 10 times since., angry"", 'Wow! Have you looked to see how much it is worth? You could have some money., caring', ""It's enough to pay 1 year's worth of mortgage. Wondering if I should sell it or hold now., surprised"", 'You might want to talk to a financial adviser about it., surprised']"
"I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. , furious","[""There was a person who had to do twice the amount of work that they usually do. Sounded like they need to fire whoever didn't do their job , jealous"", 'Yeah_comma_ or at least do something to correct that., caring', 'Maybe there should be a training day where they do back over everything_comma_ , excited', 'or hire more people maybe also, annoyed', 'That too! If only, furious', ""They don't spend money unless they absolutely have to. They get bonuses for saving money I think, afraid""]"
"I had a girl that I was seeing one time and she asked if I wanted to come with her to meet one of her friends. I went along and the way she talked to her was so much more passionate and energetic than with me and it made me wonder what he has that I don't., jealous","['I had the worst time last week. I went with my girlfriend to see one of her friends and she talked to him with so much more energy and passion than she does with me., caring', 'I really wish I could NOT correlate to that.  But I can.  Me and my girlfriend are going through a weird time right now where she likes to tell me how hot other guys right to my face.  It is a terrible feeling_comma_ and I know exactly what you are talking about.  If it occurs a lot more I suggest you saying something about it_comma_ better to know the truth than dwell on it everytime., surprised', ""That's so terrible to hear about. Do girls not understand that men also want to be valued over some random guys that they meet or even just see on the street? It's crazy to me that they are so rude sometimes., excited"", 'Yea_comma_ recently I have been trying to decide whether or not I want to mute my girlfriend on social media or not_comma_ like not block her_comma_ just mute her.  Because it bothers me how she acts single on social media_comma_ and it confuses me as to whether she wants to be with me_comma_ or is just trying to live a different personality online.  Because she talks to me and is all lovey-dovey_comma_ then gets on social media and talks like ""I don\'t need anyone"" and talks about how hot guys are.  And it leaves me so stuck and with the worst anxiety., surprised']"
"I had a great day at work today; I really killed it!, confident","[""I had a great day at work today!  We are working on some pretty complex accounting_comma_ and I've had to do a lot of prep at night. , jealous"", ""That's really awesome_comma_ what makes it so complex?, caring"", ""There are many different variables that need to be taken into account-- things that I don't usually deal with on a day to day basis.  But my extra prep at night has made it so that it's seeming easy., annoyed"", ""Well that's really great that you were able to prepare so much_comma_ obviously you know what you're doing! Do you usually have to prep so much?, angry"", 'Not usually; this is an unusual case!, faithful']"
"I had my entire house boarded up when the hurricane came., prepared","['I had to board my entire house when the hurricane was coming., ashamed', 'WOW! Did it do any damage?, surprised', 'No luckily the house was ok., confident', 'That is great. I would have been scared to death. Was it recent?, caring']"
"I had one time where I was at a party and a girl started to act really flirty with me and we were both kinda drunk. I had a girlfriend at the time so I made sure to let her know so that she didn't get the wrong idea., faithful","['One time I was at this party and a girl started to get really touchy feely and flirting with me_comma_ but I had a girlfriend at the time., anticipating', 'what did you do?, caring', ""I was way too close to my girlfriend to do anything_comma_ so I just let her know that I was in a relationship so that she wouldn't get the wrong idea., devastated"", 'that was the right move!, caring']"
"I had to give a speech at work and I completely forgot what I was saying. Everyone started laughing., embarrassed","['I had to give a speech at work and I forgot what I was saying right in the middle., prepared', ""That's never fun.  Did you have any notes to help you remember?, caring"", 'No I did not_comma_ and everyone laughed at me. It was terrible., annoyed', ""That wasn't very nice of them.  It's quite common to forget things.  Hopefully next time you remember!, caring""]"
"I had to have some tests run due to an unclear mammogram.  It took days for the results to come back and thankfully they were all clear., anxious","['I had to have some extra tests ran a few weeks back due to an unclear mammogram., surprised', 'Were the results good or bad?, proud', 'Finally they came in a few days later and all is clear thank goodness.  But that was a harrowing few days!, caring', 'Yes I am sure it was., annoyed']"
"I had to investigate a noise coming from my  backyard at night., afraid","['Turns out it was a deer who got stuck in the bushes., annoyed', 'how on earth did it get stuck?, hopeful', ""Haven't the slightest clue. It was a baby so maybe it was following it's mother through and didn't have the force needed to get out., caring"", 'Poor thing_comma_ did it need ot be helped?, sad']"
"I hate it when my dog jumped on the table and started wolfing down my child's birthday cake. I had spent four hours preparing the cake only to see it disappear in 30 seconds!, disgusted","[""Last week I was so upset when my dog jumped up on the table and started eating my child's birthday cake! I really yelled at the mutt!, proud"", ""Oh no_comma_ I hope your kid wasn't too upset. Maybe need to lock the dog in another room when food is out., afraid"", ""I can't blame him for making a move like that. I thought he was outside at the moment. Well_comma_ we were able to salvage enough for the party!, annoyed"", ""Well that's good they yall still had cake. I'm sure you will laugh about this in the future., anticipating""]"
"I hate it when people make loud breathing noises while eating a sandwich., annoyed","[""Have you ever heard someone try to inhale a sandwich? Like literally breath in every crumb like it's the last sandwich they'll ever eat...it's horrible, confident"", ""I have not and don't want to., caring"", ""Well you're one of the lucky ones, caring"", 'I do like a good sandwich thou. But I eat slow., caring']"
"I hate seeing new cars on the road. My car won't even move., jealous","['MY car has been down for about a month. Every time I leave the house I see all brand new cars., sentimental', 'I absolutely hate car issues.  Will you be getting it fixed or buying another one?, caring', ""I'm saving for a new one. I didn't even have it a year. , caring"", 'Did it have any warranty when you bought it?, grateful', 'Nope. I bought it cash from obviously a snake oil salesman., terrified']"
"I have a big meeting coming up soon_comma_ and even though I am pretty well prepared_comma_ I can't help feeling like this is a big risk., apprehensive","['I have a huge meeting coming up soon at work., hopeful', 'What is it about?, surprised', ""it is for a major project that I am leading.  I am fairly well prepared_comma_ but I just don't know for sure how it is going to go., annoyed"", 'Sounds like you will likely do well.  Do you expect any problems with other people?, excited']"
"I have a job interview coming up next week. I'm a little nervous about it., anxious","[""I've got a job interview next week. I'm feeling a little uneasy about it., surprised"", 'Interviews can be nerve wrecking., lonely', ""Yeah_comma_ I'm definitely excited for it, caring"", ""I think if you stay calm you'll do fine., anticipating""]"
"I have a long term girlfriend. I have never or will never cheat on her, faithful","['I have a girlfriend_comma_ and I will never cheat on her, surprised', 'So your saying your faithful and love her., angry', 'Absolutely_comma_ not even a doubt, devastated', 'Sounds like you got your priorities straight good man., ashamed']"
"I have a very hard time with job interviews. Every time I have one I get really nervous_comma_ and the closer I get to the interview the worse I feel., anticipating","['Job interviews are hard for me because I get so nervous beforehand., lonely', ""Me too_comma_ I haven't really found a good strategy to avoid the nervousness to be honest., caring"", 'Right! It is everything leading up to it that is the worst. The interview itself is never so bad., surprised', 'Yeah the more you think about it the more you let your expectations and imaginations put fear into you_comma_ guess we have to avoid doing that somehow., afraid', 'Yes. Maybe I need to find a way to distract myself., prepared']"
"I have always been faithful to my girlfriend of almost 3 years_comma_ which I am proud of, faithful","['I have always been faithful to my girlfriend_comma_ I am proud of that in a way, surprised', ""that's wonderful! i've never cheated on my husband either, disgusted"", 'That is good and sadly rare these days, ashamed', ""it is :( i don't know how is it possible to cheat on someone you love, sentimental""]"
"I have always been loyal to my Girlfriend. She means so much to me and when some others tried to rip me from her to get me i told them to go away and removed them from my life., faithful","['I always feel loyality is the strongest thing in a relationship., afraid', 'I agree completely., caring', 'My girlfriend makes me so happy just why would i want to destroy that., sentimental', 'Where did you meet her?, joyful']"
"I have always been loyal to my wife., faithful","['I have never cheated on my wife., caring', 'And thats something you should never do_comma_ good on you. , confident', ""Yea it hasn't been easy but I am proud I haven't, proud"", ""What do you mean it hasn't been easy? How close have you come to cheating? , caring""]"
"I have been disowned by my family. I heard that they were about to go on the annual family vacation that I always used to go on. I felt sad remembering how much I missed those trips_comma_ and looking at pictures just made me reminisce a lot. , nostalgic","['My family disowned me a few years ago. I heard that they were going on the annual family lake trip next week. Thinking about it made me really sad as I remembered all of my childhood memories on this trip., afraid', 'Awe_comma_ I am sorry to hear that. Do you think there will be any chance of a reconciliation?, caring', ""I don't know_comma_ I have been waiting five years and have sent many emails to my mom  but she seems too angry. I hope so one day but it seems less likely every day. , annoyed"", ""I know it isn't my place to ask_comma_ but why did they disown you?, annoyed"", ""I ran away from home with boyfriend_comma_ when I was 16_comma_ and we had a baby. I don't regret it because we are married now and have three sons. (: I appreciate you asking_comma_ thanks., angry"", 'In the end_comma_ I hope she sees that you were able to make it work_comma_ and if you can and do_comma_ she should meet you half way. You are very welcome :), surprised', 'Thank you so much! I should end the chat now haha but I just wanted to thank you_comma_ so if you want you can end it., guilty', ""Yeah_comma_ I always hate ending conversations as well 2 turns just isn't enough. I will now let you end the conversation_comma_ lol, caring""]"
"I have been faithful to my long time girlfriend. I would never cheat on her, faithful","['I have a girlfriend_comma_ and I would never cheat on her, caring', 'That is an amazing thing. Being cheated on is one of the worst things that can happen when ones enters a bond like a relationship., prepared', 'I agree_comma_ I am not sure how people can do that to each other, annoyed', 'I am sure that you two will have a happy and loving life together especially if she reciprocates your desire to never cheat. , caring']"
"I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall., hopeful","['I have been going to school for whar seems like forever., jealous', 'Did you wait a lot?, lonely', 'I did. I am going to finish soon though., sad', 'Ah ok Congratulation, faithful']"
"I have great memories of my childhood, nostalgic","['One of my fondest memories was when I went on an airplane for the first time as a child., furious', 'I still love going on planes. Makes the headaches of airports worth it., surprised', 'I LOVE window seats! As a kid I always made sure to get one and now as an adult I do the same. I love to travel!, afraid', ""I wish I could still sit in window seats. I'm too tall now_comma_ I can only sit on the aisle., proud""]"
"I have someone always asking me questions about how to use mobile., annoyed","['Hi_comma_ I have a co work always asking me questions about how to use her mobile. It is almost always the same questions., annoyed', 'It must be so frustrating to have to answer the same thing over and over. Is she older?, caring', 'Yes_comma_ she is. She is telling that all the cell phone that she has been using have deleting her contacts., surprised', ""My aunt does the same thing! I think what she is doing is accidentally deleting texts_comma_ and she doesn't understand how to check her contacts list. What do you think is happening with your co-worker?, embarrased""]"
"I heard a car outside that sounded like it wrecked yesterday. It sounded  awful., anxious","['Did you go outside and see if anyone was hurt?, caring', ""What do you mean? I don't know what you are talking about., caring"", 'I heard a noise outside that sounded like a car had wrecked yesterday., annoyed', 'Well then I guess you should have went and checked to see if anyone was hurt. I hope you called a ambulance., caring']"
"I just applied for a promotion_comma_ and I should earn at least 10k more., hopeful","['I just applied for a promotion_comma_ and I should earn at least 10k more., jealous', ""That's awesome. Do you think you will get it?, caring"", 'I hope so! It will help finances a lot., caring', 'Yes_comma_ definitely. Do you plan on buying anything new?, caring']"
"I just found out they are not making a sequel to a movie I like., sad","['So they just posted online about how they are not making a sequel to Hot Fuzz., caring', 'Oh no. Did they say why?, jealous', 'I guess it just did not get enough funding. It just sucks because it is my favorite movie., embarrased', 'Hopefully it might be reconsidered later on., anticipating', 'That is what im thinking but you can never tell with these things., impressed']"
"I just lost my job_comma_ and I've got too many bills., terrified","[""I just lost my job_comma_ and I've got too many bills, surprised"", ""Oh no I'm sorry about that_comma_ do you have any family that can help?, surprised"", ""I do_comma_ but they're kinda living paycheck to paycheck themselves., excited"", 'Do you have any leads on any new jobs?, jealous']"
"I just started working out and wasn't sure how to start., apprehensive","['I started working out again and it was nerveracking to begin again., confident', 'Great. How long did you stop working out?, caring', ""It's been over 10 years since i've worked out!, embarrased"", 'It is always good to work out but start slowly since it has been a long time since your last work out., caring', 'yes i did and i have slowly gotten back into it., caring']"
"I just went for a shopping spree and bought a $2000 bag, guilty","['I went shopping yesterday and bought a $2000 bag. My husband is going to kill me.., proud', 'Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks_comma_ then goes and spends it all on clothing and accessories.  , confident', 'All women have the same problem. It is a guilty pleasure.., caring', 'We all deserve to treat ourselves every now and then., devastated']"
"I know I will pass my English class., confident","['I know I will pass my English class., grateful', 'Cool. What makes you so confident, devastated', 'I have studied and know the material., caring', 'Nice. gotta love easy credit when you put in the work, surprised']"
"I left my home to my neighbor to take care of_comma_ when I had to suddenly visit my mom in Canada, trusting","['I left my home to my neighbor to take care of_comma_ when I had to suddenly visit my mom in Canada, lonely', ""I'm glad you had someone to take care of it while you were away. Was you mother alright?, faithful"", ""Yes. Seem like she didn't listen to the doctor about taking her meds on time., surprised"", 'Oh no. Were you able to get things sorted out? We live far away from family and I know how hard it can be especially when there are health concerns. , caring']"
"I let my cat out for the evening _comma_ the first time I left her outside at night and she didn't come back. , devastated","[""I let Daisy my cat out the other evening and she didn't come back home., caring"", 'oh no. How long has she been gone., caring', ""two days. I live by a road _comma_ so I'm afraid she'll go in that direction., caring"", 'I hope not. My friends cat left for two weeks once. she came back hungry_comma_ but she was fine., excited', ""I've seen a lot of animals killed on the highways. Its so sad. , proud"", 'well I hope your cat returns safely., caring', 'thanks _comma_ nice chatting with you , caring', 'you too, surprised']"
"I let my friend borrow my car last year and I got a call later that night that he crashed it and totaled it_comma_ man I was crushed by that experience., devastated","['So last year I let my friend borrow my car_comma_ and that night he ended up crashing and totaling it. I was crushed., angry', 'No! THAT is painful! He must have felt awful! Did he have insurance to cover anything?, anticipating', ""Well I had insurance_comma_ but he was driving so it wasn't covered. He's been paying me back bit by bit., caring"", ""I am so sorry! But he does sound like a true friend if he's actively paying you back!, surprised""]"
"I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back., trusting","['I have a small circle of friends. They are like my family., annoyed', 'Thats awesome_comma_ friends really can be the best. How long have you known them? , joyful', 'Around ten years. I let my friends borrow my debit card the other day. A stranger wouldve wiped me out., surprised', 'Im glad you have such good friends in your life_comma_ it makes life easier. , proud', 'Yep. Trust them with my life., jealous']"
"I let my new neighbors borrow our lawnmower. It came back broken., trusting","['I let my new neighbors borrow our lawnmower. It came back broken., caring', ""That's terrible. Do you think they'll take care of it>, caring"", 'No. They went pretty quiet., annoyed', ""Hope you don't end up in court., caring""]"
"I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out., ashamed","['So last week I was supposed to meet Mary and workout with her. But I kind of lied..., caring', ""Oh no. That's not right., furious"", 'I told her I had to go out of town and instead I just stayed home all day., surprised', ""Lol. Why didnt' you just reschedule?, caring"", 'Because We do it everyother day and I did not want to seem lazy., annoyed', ""So you said you were going out of town. That's hilarious., anticipating"", 'Yeah I just kinda feel bad about doing it..., hopeful']"
"I listened to a song the other day that reminded me of the past. It made me feel odd., nostalgic","['I listened to a song the other day that reminded me of the past., sentimental', 'What song was it?, annoyed', 'Glycerine by Bush. It made me feel odd_comma_ like I was in the past. , proud', ""I've never heard of it_comma_ is it from the 80's?, joyful""]"
"I look out for all my students_comma_ if they are struggling_comma_ I take however much time they need to understand., caring","['I am an English Tutor for Chinese students_comma_ when they struggle with a topic_comma_ I always take extra time to help them along and make sure they understand, caring', ""That is very inspiring_comma_ I'm glad you take the extra time. Do you like doing what you do?, angry"", 'I like it very much_comma_ seeing a kid grasp a new concept and very quickly and finding effective ways to do it is a blast., nostalgic', ""That is awesome_comma_ thanks for taking the time to help kids grasp a new language! You deserve to be appreciated_comma_ but I'm sure they appreciate you a lot., caring""]"
"I lost my cat to old age and cried all night about it., sad","['So my cat of 10 years past away last night. I dont know what to do, ashamed', ""oh no. I'm sorry to hear that., disgusted"", 'He is really old but I hate that it happened you know?, ashamed', 'OF course. Pets are family., caring']"
"I lost my keys at work and looked stupid searching for them., embarrassed","['So last night at work I lost my keys_comma_ I search the office for like 30 minutes., surprised', 'Did you find it?, terrified', 'I did but the entire office was watching me the whole time. I hated looking stupid like that., ashamed', ""I'm sure everyone has lost something. They're just probably glad it wasn't them., faithful"", 'Yeah i guess it was still very annoying. I think some people laughed at me., surprised']"
"I lost my wallet and had to get all new cards, sad","['So I lost my wallet and had to get a new ID issued to me., prepared', 'I hope someone turns it in soon to you.. did you lose out on money too? , surprised', 'I usually dont have much cash on me but the cards are hard to replace., surprised', 'Yeah a real pain honestly... im sorry that happened to you. :/ , caring']"
"I loved my dogs so much. But one dog i loved was Watson and he lived til he was 18. He was the one thing i cared about in this world at a time., caring","['People caring is good but i will say i have never cared as much for a creature than my first dog., sentimental', 'I can totally relate. Dogs are better than most people. What kid of dog was it?, caring', 'He was a Dachshund lived til he was 18. I miss him still., caring', ""I'm sorry. Dogs take a piece of our hearts when they go. 18 years is a very long life for a dog_comma_ I bet you had a lot of great times together!, surprised""]"
"I loved watching ""Sons of Anarchy"" and had only got through Season 2...when my friend ruined everything and said they were all gonna die at the end.  I was sad and horrified, devastated","[""I can't believe my friend ruined Sons of Anarchy for me...I was only on season 2 and she told me about how they all die at the end I was sad and horrified, annoyed"", 'That really sucks. I hate it when people spoil shows!, hopeful', 'Yeah tell me about...never gonna watch Netflix with her again haha, surprised', 'Sometimes you just got to binge on your own_comma_ lol!, annoyed']"
"I ma sure about France., confident","['I am very confident on the French Team., confident', 'Are you referring to the 2018 Games in Asia?, surprised', 'No_comma_ the soccer world cup finals next Sunday., confident', ""Oh_comma_ so you're a soccer fan? I don't really watch sports., surprised""]"
"I ma surprised by the elimination of the British team from the world cup., surprised","['I am so surprised England lost to Croatia., caring', 'Yes. They should of won., caring', 'I thought they were gonna win at all.Fist title since 1966, jealous', 'Yes but the choked like usual., joyful']"
"I met with an accident once. Kindhearted passerby saved my life, grateful","['I have a met with an accident once. one gentlemen saved my life, sad', 'I am glad to hear that_comma_ did you repay him?, surprised', 'Yeah i did. I have visited him once i was up and running. He was so chuffed see me breathing, caring', 'That is good to hear_comma_ I am glad it worked out well instead of a disaster, surprised', ""God's grace it did worked out well. We became buddies over the time, terrified""]"
"I miss my dog_comma_ Baby Girl_comma_ poor thing passed away last year after 15 years., sad","['I miss my dog_comma_ Baby Girl_comma_ poor thing passed away last year after 15 years., excited', ""Oh_comma_ that is SO hard. It sounds like she had a long and happy life. I'm sure you miss her so much., caring"", 'Absolutely she was my favorite pet I ever had_comma_, annoyed', 'What kind of dog was she? , caring']"
"I miss so much my father., nostalgic","['I miss my father., prepared', 'Did he pass away or not live close to you?, surprised', 'He died 5 years ago.He left a whole on me., annoyed', ""I'm so sorry_comma_ it's hard when anyone close passes on_comma_ but I think parents are one of the hardest., angry""]"
"I moved an hour away from my sister. We lived really close before that so we spent time together a lot., lonely","['My sister and I lived close to each other then I moved an hour away., caring', 'I hear you! I was college roommates with my sister and now we live hours apart., surprised', ""It's hard. We have kids that are the same age too. But we maker it work, impressed"", 'That is so awesome to hear. Thanks to cars and everything an hour is nothing nowadays. Especially when you can put portable DVD players in there for the kids!, caring', 'No joke! So many conveniences., grateful']"
"I once broke a fax machine my parents spent a lot on. I felt bad about it since it wasn't what i meant to do. He ended up throwing the Fax machine around the room., guilty","['So i felt bad once because i broke my parents fax machine. What made me feel bad even more he got angry., proud', 'well he did have a right to be angry (depending on how you broke it ofc), devastated', 'Yeah he did but i felt bad cause he threw the fax machine into the kitchen. This was a heavy machine by the way., caring', 'oh darn thats just abit rude and unnecessary. I hope everything is ok now , angry']"
"I once lost my job and got mad., angry","['I lost my job last year and got really angry., angry', 'I am sorry to hear that. Did it happen out of the blue?, caring', 'Yes_comma_ it was a complete surprise., surprised', 'I am sorry to hear that. I hope it turned out to be a blessing in decise., caring']"
"I once saw a snake in the woods and got very scared., afraid","['I was in the woods and a snake came out of no where., surprised', 'Did it bite you? Are you ok?, nostalgic', 'Luckily it did not. I was fine just scared., prepared', 'Im glad you are ok. Some of those are poisonous and can kill., caring']"
"I once told a co worker about an upcoming job promotion and they applied for it themselves_comma_ but also made me look bad in the process., annoyed","[""That's terrible! I suppose sometimes things backfire_comma_ no matter how good our intentions are., sad"", 'What happened?, terrified', ""They tried to make out I was bad at my job_comma_ that's the last time I'll give somebody a heads up at my own expense again., surprised"", ""Oh_comma_ no. That's awful! Did you report something that had occurred at your job? , caring"", ""I sure did_comma_ thankfully I've been there a lot longer so they know me well enough., caring"", ""Yeah_comma_ that's good. It's hard to know whether to blow the whistle sometimes. It could always come back for you. I'm glad that it sounds like it worked out., nostalgic"", 'It did_comma_ but it could have ended very badly for me or even have resulted in me losing my job., impressed', ""Yeah_comma_ navigating those sorts of things is treacherous_comma_ but as long as you know you're doing the right thing_comma_ that's all you can do. , guilty""]"
"I once took my friends left over food and lied about it. I felt really bad afterwards., guilty","[""One time I ate the rest of my friends leftover food after going out and thought he didn't want it., caring"", 'What did your friend say?, caring', 'He was quite mad and upset_comma_ I felt horrible afterwards but he forgave me., nostalgic', 'Did you buy him more food?, caring', 'Yes I wanted to help both of us since i felt bad and so did he., caring', ""That's good. It sounds like a happy ending., faithful""]"
"I once went to see fireworks with my best friend. Best day of my life. We're no longer friends., sentimental","[""I once went to see fireworks with my best friend. Best day of my life. We're no longer friends., proud"", 'What a beautiful memory that you will always have though... have you tried to be friends again? , sentimental', 'No. I am too embarassed to reach out to her after all these years., embarrased', 'I get it.. but you know life really is too short.. i think you should try to reach out! Do it! :) , caring']"
"I ordered $20 in Krystals the other day. It was terrible., furious","[""Don't you hate when you order food and it is terrible., caring"", 'I do. Makes me angry., devastated', ""We ordered Krystals on a road trip and couldn't even take it back because it would have cost too much time on the road. I was so upset., jealous"", 'I do not like Krystals., devastated', ""I don't anymore., caring""]"
"I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it., guilty","['My daughter is being so lazy this summer., annoyed', ""I think that's the usual for kids. How old is she, caring"", '13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now, caring', ""That's kind of funny though. How did she react?, annoyed"", 'she went to bed lo, surprised']"
"I ordered a burger _comma_but was  served a pizza .I got home_comma_about to it _comma_and boom! Got the shocker!, annoyed","['I was about to eat _comma_opened the pack and it was a pizza _comma_you could have imagined!, sad', ""Serious? Don't you like pizza?, faithful"", 'It was not a question of like_comma_but what I ordered.That was a careless service I must say, grateful', 'So bad from the vendor, disgusted', 'Yeah_comma_I heart beat increased_comma_I blood rose..it was like I should ..uhmmnn. You can guess !, caring']"
"I ordered for French fries _comma_bit was served burger_comma_that pissed me off!, furious","[""I could not tolerate the waiters insensitivity_comma_that's poor service indeed!, furious"", 'What happened?, caring', 'Imagine _comma_I requested a French fries _comma_but was served burger instead!, caring', 'It is very bad service. What did you do? Did you complain to the manager?, angry']"
"I participated in my high school runners' marathon and came in 2nd place. I felt very proud because I trained hard for it., proud","['I still remember my high school days_comma_ I was a terrific athlete during that time., annoyed', 'What athletics did you participate in?, nostalgic', ""The runner's marathon. I felt so proud when I came in second place because I had trained for many months for it!, nostalgic"", 'Man i know that feeling. But sounds like you worked hard., faithful']"
"I passed all of my classes last semester. I had been struggling in college for a while., joyful","['I had been doing poorly in college for a while., sad', 'Do you study?, anticipating', 'I do now. I passed all of my classes last semester_comma_ so I think I;m back on track., proud', 'Thats good. Where do you go?, caring', 'University of Memphis, proud']"
"I pray I make the soccer team this season., hopeful","['I pray I make the soccer team this year., caring', ""I'm sure you will. Have you been training? , caring"", 'Yes_comma_ everyday for two hours., jealous', ""Do you think that's enough?, devastated""]"
"I really enjoyed the movie_comma_ A Bugs Life., impressed","['I really like the movie_comma_ A Bugs Life., terrified', 'I saw that movie a long time ago., proud', 'Yes. I laughed the whole time., caring', 'What was your favorite part, impressed']"
"I really got close with a girl that I met from Tinder_comma_ to the point where we were ""dating"". Then randomly_comma_ after like 4 days_comma_ she says that she doesn't want to date anymore and then just stops talking to me., sad","[""I'm still kinda bummed about this_comma_ but like a month or more back I was really into this girl from Tinder and we started dating too. Unfortunately_comma_ after like 4 or 5 days_comma_ she said she wanted to stop dating and hasn't spoken to me since., devastated"", ""Oh no_comma_ that really sucks. That's awful that she wanted to end things_comma_ especially since you were really into her. I am sorry., caring"", ""It's fine_comma_ I'm feeling a lot better about it. The thing that irks me is that she went from super happy about dating to literally ending it and ghosting me in so little time. Makes me think it was all fake_comma_ but I can't think why she would do it., sad"", ""That's really odd_comma_ and unfortunate. Thankfully there are many more girls that would match you better :) Don't lose hope!, hopeful""]"
"I really like our new football coach., impressed","['I really like the new football coach., joyful', 'I like football_comma_ who are you talking about? what team?, caring', 'The Falcons and their new defensive coach., anticipating', 'Oh i see! are you excited with him? do you think they can go for the super bowl?, caring']"
"I really love the snow but it never snows here.  A few years ago_comma_ I got my wish_comma_ but it was also horrible.  Lots of people stranded all over_comma_ including my husband and daughter., surprised","['I really really love the snow_comma_ but we never get it.  Well a few years ago_comma_ my wish was granted!, caring', 'Where do you live? I live in Missouri and the snows can be brutal. We had a couple days at 0F this year. I hate it, lonely', 'Georgia - it snowed alright_comma_ and no one expected it to stick - well_comma_ it did and so many people were stranded.  My husband went to pick up our daughter from school and it took him 6 hours to get there and back.  The school is 5 miles from our house., surprised', 'I heard about that on the news_comma_ how it was rare to see that. I LOVE Georgia. My favorite place to visit is Savannah. I will gladly trade spots with you., proud']"
"I really want to win the lottery someday_comma_ maybe i will? , hopeful","['So this is going to sound crazy but_comma_ one day I am going to win the lottery. , hopeful', 'That would pretty amazing. What will you do with the winning?, anticipating', 'Pay off my debts from moving number 1_comma_ and then buy a house! What would you do with the money?, caring', 'I think the same really. Making sure everything is paid off_comma_ having a roof over your head_comma_ etc... is what most people would want to take caer of first., confident']"
"I recall a time when I had to go to my cousin's birthday part_comma_ and I overslept! I felt really guilty about that., guilty","['It is something that was really important to her_comma_ and I still feel bad that I missed her 15th birthday, jealous', 'Who is she?, surprised', 'My cousin_comma_ she really wanted me to attend her party since she enjoys my cooking and I had planned on making cookies, surprised', 'That is bad. Did you bought her a good present so she can forget about it?, caring']"
"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back_comma_ I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!, annoyed","['It was a really bad experience. Especially since I wasted all the ingredients! , caring', 'Oh no_comma_ was it an important meal?, surprised', ""Yes_comma_ it was my nephew's birthday party pizza. And I promised him I would make his favorite pepperoni pizza! , caring"", ""That's so sad!  What did you end up doing instead?, furious"", ""We had to order from a fast food chain! It wasn't bad_comma_ but fair to say_comma_ my nephew was disappointed in me., disappointed"", 'What went wrong with the pizza you were trying to make?, caring', 'It left in the oven and was distracted by my boss, annoyed']"
"I receive my blood test result yesterday and I am so grateful that I don't any immune system diseases., grateful","['I receive my blood test result yesterday and I am so grateful that I don\'t any immune system diseases."", caring', 'That is great., surprised', 'The doctor made worry a lot because it seems that all the symptoms that I have matches an immune system disease. I am happy it is not., grateful', 'Hopefully it will work out., guilty']"
"I recently applied for a job after being out of the workforce for 13 years.  I'm hoping I get it!, hopeful","['I recently applied for a job after being out of the workforce for 13 years!, devastated', 'Congratulations!!! That can be both exciting and terrifying? Where are you on that spectrum? ;-), caring', ""I'm so excited! But a little scared too. I hope I get it!, angry"", ""I am sending you all the best vibes. Is it in a field you've worked in before?, sentimental"", ""Thank you! It's a customer service job_comma_ which I've done_comma_ but in a different industry., confident"", ""Happily_comma_ a lot of employers seem to be willing to extrapolate that if you had talents in one industry_comma_ they'd apply to another. You can always learn about different subjects; you can't always learn how to bring that special spark that customer service needs. Best of luck!, excited""]"
"I recently broke up with my girlfriend and i feel lonely., lonely","['I recently broke up with my girlfriend and i feel so lonely., annoyed', ""Oh_comma_ man. That's rough. I'm sorry. Are friends helping?, surprised"", 'They are trying_comma_ but they all are in relationships right now_comma_ so it is very difficult., afraid', ""Friends I know who have been through rough breakups often say that physical activity helps. That_comma_ and time. But still -- it's difficult!, annoyed""]"
"I recently did a tour through my old high school and it brought back a lot of memories., nostalgic","['I went back though my old high school as part of a reunion.  It brought back many memories., caring', 'Were they fond memories?, hopeful', ""Yeah_comma_ most of the were.  I think we forget the awkward stuff.  On the other hand_comma_ I'm not sure I would want to do it again., caring"", ""That's understandable. I hope everyone you know is doing well from back then!, proud""]"
